Date,Close,Dividend,Split
2026-01-28,29.22,0,1
2026-01-27,29.69,0,1
2026-01-26,29.49,0,1
2026-01-23,29.83,0,1
2026-01-22,29.42,0.43,1
2026-01-21,30.35,0,1
2026-01-20,29.75,0,1
2026-01-16,31.87,0,1
2026-01-15,31.46,0.414,1
2026-01-14,32.97,0,1
2026-01-13,32.1,0,1
2026-01-12,30.47,0,1
2026-01-09,29.62,0,1
2026-01-08,31.18,0.374,1
2026-01-07,30.82,0,1
2026-01-06,30.25,0,1
2026-01-05,31.23,0,1
2026-01-02,30.06,0.409,1
2025-12-31,29.6,0,1
2025-12-30,30.21,0,1
2025-12-29,30.11,0,1
2025-12-26,30.63,0.511,1
2025-12-24,31.1,0,1
2025-12-23,30.95,0,1
2025-12-22,32.05,0,1
2025-12-19,32.01,0,1
2025-12-18,30.81,0.387,1
2025-12-17,31.56,0,1
2025-12-16,32.82,0,1
2025-12-15,31.76,0,1
2025-12-12,34.27,0,1
2025-12-11,35.46,0.586,1
2025-12-10,36.13,0,1
2025-12-09,36.63,0,1
2025-12-08,35.8,0,5
2025-12-05,35.05,0,1
2025-12-04,36.05,0.695,1
2025-12-03,36.8,0,1
2025-12-02,35.75,0,1
2025-12-01,34.0,0,1
2025-11-28,35.0,0.675,1
2025-11-26,35.3,0,1
2025-11-25,34.7,0,1
2025-11-24,36.0,0,1
2025-11-21,34.15,0,1
2025-11-20,35.3,0.74,1
2025-11-19,37.75,0,1
2025-11-18,41.45,0,1
2025-11-17,39.4,0,1
2025-11-14,40.0,0,1
2025-11-13,41.65,0.81,1
2025-11-12,45.5,0,1
2025-11-11,46.7,0,1
2025-11-10,48.05,0,1
2025-11-07,48.35,0,1
2025-11-06,47.7,0.845,1
2025-11-05,51.85,0,1
2025-11-04,50.2,0,1
2025-11-03,53.6,0,1
2025-10-31,54.45,0,1
2025-10-30,51.25,0.96,1
2025-10-29,56.4,0,1
2025-10-28,58.15,0,1
2025-10-27,60.05,0,1
2025-10-24,58.65,0,1
2025-10-23,57.65,1.06,1
2025-10-22,58.05,0,1
2025-10-21,61.7,0,1
2025-10-20,60.75,0,1
2025-10-17,59.3,0,1
2025-10-16,58.15,3.035,1
2025-10-15,63.6,0,1
2025-10-14,64.3,0,1
2025-10-13,67.2,0,1
2025-10-10,64.9,0,1
2025-10-09,67.85,0,1
2025-10-08,69.85,0,1
2025-10-07,69.35,0,1
2025-10-06,75.1,0,1
2025-10-03,73.7,0,1
2025-10-02,73.65,0,1
2025-10-01,71.75,0,1
2025-09-30,69.8,0,1
2025-09-29,70.15,0,1
2025-09-26,67.55,0,1
2025-09-25,65.95,5.055,1
2025-09-24,75.9,0,1
2025-09-23,77.05,0,1
2025-09-22,78.65,0,1
2025-09-19,80.2,0,1
2025-09-18,81.0,0,1
2025-09-17,78.15,0,1
2025-09-16,78.95,0,1
2025-09-15,77.5,0,1
2025-09-12,78.0,0,1
2025-09-11,76.9,0,1
2025-09-10,76.9,0,1
2025-09-09,77.2,0,1
2025-09-08,77.35,0,1
2025-09-05,78.1,0,1
2025-09-04,76.3,0,1
2025-09-03,76.9,0,1
2025-09-02,79.05,0,1
2025-08-29,77.5,0,1
2025-08-28,78.5,5.45,1
2025-08-27,84.7,0,1
2025-08-26,86.65,0,1
2025-08-25,84.65,0,1
2025-08-22,87.75,0,1
2025-08-21,83.45,0,1
2025-08-20,84.95,0,1
2025-08-19,83.1,0,1
2025-08-18,89.25,0,1
2025-08-15,89.3,0,1
2025-08-14,91.1,0,1
2025-08-13,95.05,0,1
2025-08-12,95.95,0,1
2025-08-11,96.95,0,1
2025-08-08,95.75,0,1
2025-08-07,96.65,0,1
2025-08-06,93.65,0,1
2025-08-05,91.75,0,1
2025-08-04,94.35,0,1
2025-08-01,89.35,0,1
2025-07-31,97.5,5.92,1
2025-07-30,101.95,0,1
2025-07-29,101.9,0,1
2025-07-28,103.75,0,1
2025-07-25,104.15,0,1
2025-07-24,106.3,0,1
2025-07-23,105.75,0,1
2025-07-22,108.8,0,1
2025-07-21,108.55,0,1
2025-07-18,108.4,0,1
2025-07-17,114.15,0,1
2025-07-16,114.3,0,1
2025-07-15,112.0,0,1
2025-07-14,112.95,0,1
2025-07-11,110.35,0,1
2025-07-10,108.25,0,1
2025-07-09,106.95,0,1
2025-07-08,103.85,0,1
2025-07-07,103.25,0,1
2025-07-03,104.45,6.19,1
2025-07-02,110.5,0,1
2025-07-01,104.45,0,1
2025-06-30,110.85,0,1
2025-06-27,107.05,0,1
2025-06-26,107.7,0,1
2025-06-25,107.6,0,1
2025-06-24,105.25,0,1
2025-06-23,102.85,0,1
2025-06-20,103.2,0,1
2025-06-18,102.75,0,1
2025-06-17,104.25,0,1
2025-06-16,105.65,0,1
2025-06-13,105.75,0,1
2025-06-12,105.0,0,1
2025-06-11,106.05,0,1
2025-06-10,106.25,0,1
2025-06-09,106.05,0,1
2025-06-06,102.95,0,1
2025-06-05,101.35,7.355,1
2025-06-04,110.95,0,1
2025-06-03,112.2,0,1
2025-06-02,109.2,0,1
2025-05-30,107.75,0,1
2025-05-29,108.3,0,1
2025-05-28,106.4,0,1
2025-05-27,108.5,0,1
2025-05-23,107.6,0,1
2025-05-22,115.4,0,1
2025-05-21,116.0,0,1
2025-05-20,118.95,0,1
2025-05-19,117.95,0,1
2025-05-16,114.45,0,1
2025-05-15,113.6,0,1
2025-05-14,118.6,0,1
2025-05-13,119.25,0,1
2025-05-12,115.3,0,1
2025-05-09,117.6,0,1
2025-05-08,117.7,11.865,1
2025-05-07,125.6,0,1
2025-05-06,123.5,0,1
2025-05-05,123.25,0,1
2025-05-02,125.7,0,1
2025-05-01,122.45,0,1
2025-04-30,121.7,0,1
2025-04-29,121.65,0,1
2025-04-28,118.5,0,1
2025-04-25,117.95,0,1
2025-04-24,114.45,0,1
2025-04-23,113.15,0,1
2025-04-22,112.2,0,1
2025-04-21,106.45,0,1
2025-04-17,106.15,0,1
2025-04-16,104.15,0,1
2025-04-15,103.65,0,1
2025-04-14,102.95,0,1
2025-04-11,99.4,0,1
